,game_id,t1_name,t2_name,t1_rpi,t2_rpi,t1_pyth,t2_pyth,t1_seed,t2_seed,prob_lose,prob_win
0,2016-1314-1462,North Carolina,Xavier,0.645,0.639,0.9407,0.894669,1.0,2.0,0.473762897386,0.526237102614
1,2016-1314-1452,North Carolina,West Virginia,0.645,0.631,0.9407,0.923627,1.0,3.0,0.501560140453,0.498439859547
2,2016-1462-1452,Xavier,West Virginia,0.639,0.631,0.894669,0.923627,2.0,3.0,0.551442904653,0.448557095347
3,2016-1314-1246,North Carolina,Kentucky,0.645,0.626,0.9407,0.919899,1.0,4.0,0.495169237268,0.504830762732
4,2016-1462-1246,Xavier,Kentucky,0.639,0.626,0.894669,0.919899,2.0,4.0,0.545111516983,0.454888483017
5,2016-1452-1246,West Virginia,Kentucky,0.631,0.626,0.923627,0.919899,3.0,4.0,0.518847549031,0.481152450969
6,2016-1314-1231,North Carolina,Indiana,0.645,0.602,0.9407,0.895934,1.0,5.0,0.457977680864,0.542022319136
7,2016-1462-1231,Xavier,Indiana,0.639,0.602,0.894669,0.895934,2.0,5.0,0.507943086445,0.492056913555
8,2016-1452-1231,West Virginia,Indiana,0.631,0.602,0.923627,0.895934,3.0,5.0,0.481574062484,0.518425937516
9,2016-1246-1231,Kentucky,Indiana,0.626,0.602,0.919899,0.895934,4.0,5.0,0.48758512363,0.51241487637
10,2016-1314-1323,North Carolina,Notre Dame,0.645,0.589,0.9407,0.8132,1.0,6.0,0.365109279997,0.634890720003
11,2016-1462-1323,Xavier,Notre Dame,0.639,0.589,0.894669,0.8132,2.0,6.0,0.412656466995,0.587343533005
12,2016-1452-1323,West Virginia,Notre Dame,0.631,0.589,0.923627,0.8132,3.0,6.0,0.387340160311,0.612659839689
13,2016-1246-1323,Kentucky,Notre Dame,0.626,0.589,0.919899,0.8132,4.0,6.0,0.393066798589,0.606933201411
14,2016-1231-1323,Indiana,Notre Dame,0.602,0.589,0.895934,0.8132,5.0,6.0,0.427054089073,0.572945910927
15,2016-1314-1458,North Carolina,Wisconsin,0.645,0.584,0.9407,0.839077,1.0,7.0,0.389406814196,0.610593185804
16,2016-1462-1458,Xavier,Wisconsin,0.639,0.584,0.894669,0.839077,2.0,7.0,0.437935596476,0.562064403524
17,2016-1452-1458,West Virginia,Wisconsin,0.631,0.584,0.923627,0.839077,3.0,7.0,0.41215671385,0.58784328615
18,2016-1246-1458,Kentucky,Wisconsin,0.626,0.584,0.919899,0.839077,4.0,7.0,0.417999927229,0.582000072771
19,2016-1231-1458,Indiana,Wisconsin,0.602,0.584,0.895934,0.839077,5.0,7.0,0.452535654351,0.547464345649
20,2016-1323-1458,Notre Dame,Wisconsin,0.589,0.584,0.8132,0.839077,6.0,7.0,0.543232557331,0.456767442669
21,2016-1314-1425,North Carolina,USC,0.645,0.579,0.9407,0.794437,1.0,8.0,0.34216550058,0.65783449942
22,2016-1462-1425,Xavier,USC,0.639,0.579,0.894669,0.794437,2.0,8.0,0.388553381317,0.611446618683
23,2016-1452-1425,West Virginia,USC,0.631,0.579,0.923627,0.794437,3.0,8.0,0.363799875165,0.636200124835
24,2016-1246-1425,Kentucky,USC,0.626,0.579,0.919899,0.794437,4.0,8.0,0.369388318929,0.630611681071
25,2016-1231-1425,Indiana,USC,0.602,0.579,0.895934,0.794437,5.0,8.0,0.402686611488,0.597313388512
