,AdjDE_x,AdjDE_y,AdjOE_x,AdjOE_y,AdjTempo_x,AdjTempo_y,DE_x,DE_y,OE_x,OE_y,Pythag_x,Pythag_y,RankAdjDE_x,RankAdjDE_y,RankAdjOE_x,RankAdjOE_y,RankAdjTempo_x,RankAdjTempo_y,RankDE_x,RankDE_y,RankOE_x,RankOE_y,RankPythag_x,RankPythag_y,RankTempo_x,RankTempo_y,Result,Tempo_x,Tempo_y,game_id,season,t1TeamName,t1_id,t1_score,t1_teamname,t2TeamName,t2_id,t2_score,t2_teamname,team1_fg2pct,team1_fg3pct,team1_ftpct,team2_fg2pct,team2_fg3pct,team2_ftpct,x_pt_team_season_losses,x_pt_team_season_wins,x_rpi_rating,x_seed,y_pt_team_season_losses,y_pt_team_season_wins,y_rpi_rating,y_seed
745,101.0796,100.1355,116.724,112.9373,70.3766,66.4058,102.9773,100.5981,116.0285,108.54,0.839552,0.799561,139.0,124.0,9.0,22.0,6.0,95.0,187.0,137.0,7.0,50.0,31.0,44.0,14.0,92.0,0,69.6564,66.5662,2015-1279-1140,2015.0,BYU,1140.0,90.0,BYU,Mississippi,1279.0,94.0,Mississippi,50.3317,38.4503,77.0,46.8927,33.8235,77.8417,9.0,25.0,0.579,11.0,12.0,21.0,0.565,11.0
297,99.5721,95.9176,113.1154,113.8082,68.1308,65.5965,99.3663,96.8049,112.1884,110.2021,0.812533,0.877266,100.0,47.0,23.0,19.0,107.0,210.0,99.0,56.0,21.0,39.0,47.0,21.0,82.0,266.0,0,69.4238,64.0529,2007-1231-1211,2007.0,Gonzaga,1211.0,57.0,Gonzaga,Indiana,1231.0,70.0,Indiana,51.8328,39.7188,75.0656,48.5375,38.1241,70.9784,10.0,23.0,0.575,10.0,10.0,20.0,0.595,7.0
754,97.058,93.2861,108.4879,106.6981,64.5411,59.9913,98.5303,92.4216,106.5732,104.0583,0.7825,0.824165,69.0,18.0,57.0,76.0,180.0,341.0,95.0,13.0,71.0,123.0,49.0,34.0,159.0,343.0,0,65.0474,59.4013,2015-1153-1345,2015.0,Purdue,1345.0,65.0,Purdue,Cincinnati,1153.0,66.0,Cincinnati,50.9607,33.4501,68.484,50.5464,33.3333,67.3913,12.0,21.0,0.47,9.0,10.0,22.0,0.55,8.0
316,97.7172,92.6656,105.8269,108.6062,67.2901,60.849,97.0738,94.4345,106.4855,106.2136,0.714402,0.861214,65.0,17.0,110.0,71.0,139.0,322.0,63.0,23.0,89.0,95.0,83.0,24.0,159.0,319.0,0,66.975,61.3806,2007-1450-1331,2007.0,Oral Roberts,1331.0,54.0,Oral Roberts,Washington St.,1450.0,70.0,Washington St.,51.1188,36.9403,70.7865,50.3597,37.1917,71.6695,10.0,23.0,0.59,14.0,7.0,25.0,0.568,3.0
93,101.0134,95.343,116.4746,105.1844,65.6414,68.7832,102.0266,93.8703,112.31,105.9083,0.837239,0.755781,162.0,52.0,5.0,89.0,278.0,149.0,196.0,27.0,6.0,73.0,30.0,62.0,295.0,146.0,0,64.5862,69.0454,2003-1409-1173,2003.0,Dayton,1173.0,71.0,Dayton,Tulsa,1409.0,84.0,Tulsa,50.8458,35.861,71.386,51.0441,36.7797,73.021,5.0,24.0,0.543,4.0,9.0,22.0,0.549,13.0
474,93.9251,89.8789,109.4099,104.1957,64.6254,69.4883,95.9992,91.9579,107.8931,103.3137,0.852575,0.845507,46.0,11.0,46.0,124.0,280.0,68.0,60.0,19.0,54.0,128.0,35.0,38.0,296.0,41.0,0,64.121,70.697,2010-1397-1361,2010.0,San Diego St.,1361.0,59.0,San Diego St.,Tennessee,1397.0,62.0,Tennessee,53.5176,31.7669,61.8644,51.7749,32.0117,67.0968,8.0,25.0,0.523,11.0,8.0,25.0,0.524,6.0
304,98.2368,89.683,115.0832,116.5324,67.4587,65.3922,98.0711,92.4443,115.3751,113.2083,0.860585,0.953101,80.0,5.0,13.0,7.0,130.0,218.0,74.0,13.0,5.0,14.0,26.0,2.0,197.0,233.0,0,66.2082,65.1462,2007-1326-1462,2007.0,Xavier,1462.0,71.0,Xavier,Ohio St.,1326.0,78.0,Ohio St.,52.968,39.0421,74.144,53.5354,36.1006,70.2635,8.0,24.0,0.589,9.0,3.0,30.0,0.595,1.0
361,94.1568,89.3351,113.1885,116.1109,65.3226,65.5595,95.6813,91.7343,115.1371,113.7163,0.892552,0.953236,32.0,4.0,19.0,6.0,227.0,216.0,45.0,8.0,4.0,10.0,17.0,3.0,233.0,250.0,0,65.2053,64.9982,2008-1417-1462,2008.0,Xavier,1462.0,57.0,Xavier,UCLA,1417.0,76.0,UCLA,52.2782,39.0582,74.8804,52.2193,34.7009,73.6375,6.0,27.0,0.587,3.0,3.0,31.0,0.599,1.0
462,91.952,89.6286,109.2147,108.1695,67.1159,65.1617,95.4326,92.5372,108.3923,108.4929,0.878527,0.896812,23.0,8.0,47.0,55.0,182.0,269.0,45.0,24.0,49.0,47.0,22.0,16.0,209.0,287.0,0,66.673,64.5273,2010-1139-1277,2010.0,Michigan St.,1277.0,50.0,Michigan St.,Butler,1139.0,52.0,Butler,51.6404,34.375,68.4555,50.8696,34.1656,73.7723,8.0,24.0,0.574,5.0,4.0,28.0,0.596,5.0
364,97.0594,94.6948,114.3542,110.1034,65.0121,65.4761,102.2513,95.0148,109.4196,110.9767,0.868269,0.849891,65.0,36.0,12.0,44.0,243.0,220.0,177.0,36.0,44.0,28.0,23.0,30.0,265.0,192.0,0,64.6655,66.3198,2008-1452-1112,2008.0,Arizona,1112.0,65.0,Arizona,West Virginia,1452.0,75.0,West Virginia,51.2489,39.5985,74.3849,50.0719,35.9551,68.6606,14.0,19.0,0.573,10.0,10.0,24.0,0.575,7.0
